"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ESV1933","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Lasiosphaeriaceae",NA,NA
"ESV1935","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ESV1937","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV1938","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV1940","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Trichosporonales","f__Trichosporonaceae","g__Cutaneotrichosporon","s__guehoae"
"ESV1941","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pezizaceae","g__Peziza","s__flavida"
"ESV1942","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Branch06",NA,NA,NA
"ESV1943","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV1944","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Dermateaceae","g__Parafabraea","s__caliginosa"
"ESV1945","k__Fungi","p__Ascomycota","c__Laboulbeniomycetes","o__Pyxidiophorales",NA,NA,NA
"ESV1946","k__Fungi","p__Kickxellomycota","c__Kickxellomycetes","o__Kickxellales","f__Kickxellaceae","g__Spiromyces","s__aspiralis"
"ESV1947","k__Fungi","p__Zoopagomycota",NA,NA,NA,NA,NA
"ESV1948","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Dermateaceae",NA,NA
"ESV1950","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV1952","k__Fungi","p__Basidiomycota","c__Microbotryomycetes",NA,NA,NA,NA
"ESV1953","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Coniochaetales","f__Coniochaetaceae","g__Coniochaeta","s__verticillata"
"ESV1954","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"ESV1956","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Lasiosphaeriaceae","g__Podospora",NA
"ESV1957","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella",NA
"ESV1958","k__Fungi","p__Kickxellomycota","c__Kickxellomycetes","o__Kickxellales","f__Kickxellaceae","g__Spiromyces","s__aspiralis"
"ESV1959","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV1961","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporales_fam_Incertae_sedis","g__Polyschema","s__sclerotigenum"
"ESV1963","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ESV1965","k__Fungi","p__Chytridiomycota","c__Rhizophydiomycetes","o__Rhizophydiales","f__Rhizophydiales_fam_Incertae_sedis","g__Operculomyces",NA
"ESV1966","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales",NA,NA,NA
"ESV1967","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Serendipitaceae","g__Serendipita",NA
"ESV1968","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV1969","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Microdochiaceae","g__Microdochium",NA
"ESV1971","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Myxotrichaceae","g__Oidiodendron","s__truncatum"
"ESV1972","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Bolbitiaceae","g__Conocybe",NA
"ESV1973","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Dermateaceae","g__Parafabraea","s__caliginosa"
"ESV1974","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV1975","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV1978","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales","f__Thelebolaceae","g__Thelebolus","s__spongiae"
"ESV1979","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus","s__collinsii"
"ESV1982","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV1985","k__Fungi","p__Kickxellomycota","c__GS19",NA,NA,NA,NA
"ESV1988","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Sordariales_fam_Incertae_sedis","g__Papulaspora","s__equi"
"ESV1991","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV1992","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV1993","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Bolbitiaceae","g__Conocybe",NA
"ESV1994","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Trichomeriaceae","g__Knufia","s__peltigerae"
"ESV1995","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Microascales","f__Microascaceae","g__Scedosporium","s__dehoogii"
"ESV1998","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreaceae","g__Monocillium","s__mucidum"
"ESV1999","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliaceae","g__Arthrobotrys","s__scaphoides"
