"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ESV4647","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Goffeauzyma","s__gastrica"
"ESV4649","k__Fungi","p__Basidiobolomycota","c__Basidiobolomycetes","o__Basidiobolales",NA,NA,NA
"ESV4651","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Ganodermataceae","g__Ganoderma",NA
"ESV4653","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","g__Sarocladium","s__bactrocephalum"
"ESV4654","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiales_fam_Incertae_sedis","g__Mycoarthris",NA
"ESV4656","k__Fungi","p__Zoopagomycota","c__Zoopagomycetes","o__Zoopagales","f__Piptocephalidaceae","g__Syncephalis",NA
"ESV4657","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Trichomeriaceae","g__Knufia","s__peltigerae"
"ESV4664","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Bolbitiaceae","g__Conocybe","s__pubescens"
"ESV4666","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Sympoventuriaceae","g__Scolecobasidium","s__constrictum"
"ESV4672","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV4677","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV4680","k__Fungi","p__Kickxellomycota","c__Kickxellomycetes","o__Kickxellales","f__Kickxellaceae","g__Spiromyces","s__aspiralis"
"ESV4682","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV4684","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliaceae","g__Monacrosporium","s__drechsleri"
"ESV4685","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"ESV4686","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Coprinellus","s__heptemerus"
"ESV4687","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Microascales",NA,NA,NA
"ESV4688","k__Fungi","p__Entomophthoromycota","c__Entomophthoromycetes","o__Entomophthorales","f__Ancylistaceae","g__Conidiobolus","s__coronatus"
"ESV4691","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"ESV4693","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV4694","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Penicillium",NA
"ESV4695","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Dermateaceae",NA,NA
"ESV4697","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Pyrenochaetopsis",NA
"ESV4698","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Dermateaceae",NA,NA
"ESV4711","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV4712","k__Fungi","p__Basidiomycota","c__Malasseziomycetes","o__Malasseziales","f__Malasseziaceae","g__Malassezia","s__restricta"
"ESV4714","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ESV4716","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__polygonia"
"ESV4717","k__Fungi","p__Kickxellomycota","c__Kickxellomycetes","o__Kickxellales","f__Kickxellaceae","g__Spiromyces","s__aspiralis"
"ESV4719","k__Fungi","p__Entomophthoromycota","c__Entomophthoromycetes","o__Entomophthorales","f__Ancylistaceae","g__Conidiobolus","s__coronatus"
"ESV4721","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Dermateaceae",NA,NA
"ESV4723","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ESV4724","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Clavicipitaceae",NA,NA
"ESV4725","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Dermateaceae",NA,NA
"ESV4726","k__Fungi","p__Kickxellomycota",NA,NA,NA,NA,NA
"ESV4729","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Dermateaceae",NA,NA
"ESV4731","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Dermateaceae","g__Parafabraea","s__caliginosa"
"ESV4733","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Strophariaceae","g__Deconica",NA
"ESV4734","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ESV4735","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Coprinellus",NA
"ESV4736","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Lasiosphaeriaceae","g__Podospora",NA
"ESV4737","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__angusta"
"ESV4738","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"ESV4741","k__Fungi","p__Mucoromycota","c__Mucoromycetes","o__Mucorales","f__Lichtheimiaceae","g__Circinella","s__muscae"
"ESV4742","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales",NA,NA,NA
"ESV4744","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Tubeufiales","f__Tubeufiaceae","g__Neohelicomyces","s__hyalosporus"
"ESV4745","k__Fungi","p__Basidiomycota","c__Ustilaginomycetes","o__Ustilaginales","f__Ustilaginaceae","g__Anthracocystis",NA
"ESV4746","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Pyrenochaetopsis","s__leptospora"
"ESV4747","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Bulleribasidium","s__oberjochense"
"ESV4748","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Psathyrella",NA
"ESV4749","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","g__Acremonium","s__curvulum"
"ESV4750","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV4754","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Serendipitaceae",NA,NA
"ESV4755","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Coprinopsis","s__asiaticiphlyctidospora"
"ESV4757","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Myrmecridiales","f__Myrmecridiales_fam_Incertae_sedis","g__Atractospora",NA
"ESV4758","k__Fungi","p__Chytridiomycota","c__Rhizophydiomycetes","o__Rhizophydiales","f__Rhizophydiaceae","g__Rhizophydium",NA
"ESV4760","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Microdochiaceae","g__Microdochium","s__paspali"
"ESV4762","k__Fungi","p__Kickxellomycota","c__Kickxellomycetes","o__Kickxellales","f__Kickxellaceae","g__Spiromyces","s__aspiralis"
"ESV4763","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ESV4765","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV4766","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ESV4768","k__Fungi","p__Zoopagomycota","c__Zoopagomycetes","o__Zoopagales","f__Piptocephalidaceae","g__Syncephalis",NA
"ESV4769","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV4771","k__Fungi","p__Mucoromycota","c__Mucoromycetes","o__Mucorales","f__Cunninghamellaceae","g__Gongronella","s__butleri"
"ESV4773","k__Fungi","p__Mucoromycota","c__Mucoromycetes","o__Mucorales","f__Cunninghamellaceae","g__Gongronella","s__butleri"
"ESV4775","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Microdochiaceae","g__Microdochium","s__paspali"
"ESV4776","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","g__Trichocladium","s__opacum"
"ESV4778","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales",NA,NA,NA
"ESV4781","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__polygonia"
"ESV4784","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV4786","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV4790","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Cladophialophora","s__chaetospira"
"ESV4792","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Bolbitiaceae","g__Conocybe","s__apala"
"ESV4793","k__Fungi","p__Kickxellomycota","c__Kickxellomycetes","o__Kickxellales","f__Kickxellaceae","g__Spiromyces","s__aspiralis"
"ESV4795","k__Fungi","p__Kickxellomycota","c__Kickxellomycetes","o__Kickxellales","f__Kickxellaceae","g__Spiromyces","s__aspiralis"
"ESV4798","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Melanosporales","f__Ceratostomataceae","g__Microthecium",NA
"ESV4799","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV4800","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ESV4802","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","g__Trichocladium","s__pyriforme"
"ESV4804","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Penicillium","s__pimiteouiense"
"ESV4806","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Microascales","f__Microascaceae",NA,NA
"ESV4809","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV4810","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Bipolaris",NA
"ESV4813","k__Fungi","p__Glomeromycota","c__Paraglomeromycetes","o__Paraglomerales","f__Paraglomeraceae","g__Paraglomus","s__laccatum"
"ESV4814","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae",NA,NA
"ESV4815","k__Fungi","p__Ascomycota","c__GS37",NA,NA,NA,NA
"ESV4816","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Dermateaceae",NA,NA
"ESV4817","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ESV4818","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Schizoporaceae","g__Hyphodontia","s__alutaria"
"ESV4819","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Dictyosporiaceae","g__Pseudocoleophoma",NA
"ESV4820","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus","s__cibarius"
"ESV4821","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV4822","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Geastrales","f__Geastraceae","g__Geastrum",NA
"ESV4823","k__Fungi","p__Glomeromycota","c__Paraglomeromycetes","o__Paraglomerales","f__Paraglomeraceae","g__Paraglomus","s__laccatum"
"ESV4824","k__Fungi","p__Mucoromycota","c__Mucoromycetes","o__Mucorales","f__Cunninghamellaceae","g__Gongronella","s__butleri"
"ESV4825","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Dictyosporiaceae","g__Pseudocoleophoma",NA
"ESV4827","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Curvularia","s__fallax"
"ESV4830","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","g__Paraphaeosphaeria",NA
"ESV4832","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV4833","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ESV4834","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV4835","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ESV4838","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ESV4839","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus",NA
"ESV4840","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV4842","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV4844","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Serendipitaceae",NA,NA
"ESV4845","k__Fungi","p__Mucoromycota","c__Mucoromycetes","o__Mucorales","f__Mucoraceae","g__Mucor","s__moelleri"
"ESV4846","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV4847","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV4850","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV4851","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Erythrobasidiales","f__Erythrobasidiaceae","g__Bannoa","s__ogasawarensis"
"ESV4852","k__Fungi","p__Ascomycota","c__Laboulbeniomycetes",NA,NA,NA,NA
"ESV4854","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ESV4855","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV4861","k__Fungi","p__Chytridiomycota","c__Rhizophydiomycetes","o__Rhizophydiales","f__Alphamycetaceae","g__Betamyces","s__americae-meridionalis"
"ESV4862","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV4864","k__Fungi","p__Monoblepharomycota","c__Monoblepharidomycetes","o__Monoblepharidales",NA,NA,NA
"ESV4865","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus","s__caninus"
"ESV4867","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ESV4868","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Stephanosporaceae","g__Lindtneria",NA
"ESV4869","k__Fungi","p__Kickxellomycota","c__Kickxellomycetes","o__Kickxellales","f__Kickxellaceae","g__Spiromyces","s__aspiralis"
"ESV4872","k__Fungi","p__Ascomycota","c__GS37",NA,NA,NA,NA
"ESV4874","k__Fungi","p__Kickxellomycota","c__Kickxellomycetes","o__Kickxellales","f__Kickxellaceae","g__Ramicandelaber","s__brevisporus"
"ESV4875","k__Fungi","p__Kickxellomycota","c__Kickxellomycetes","o__Kickxellales","f__Kickxellaceae","g__Ramicandelaber","s__brevisporus"
"ESV4876","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Microascales","f__Microascaceae","g__Pseudallescheria","s__ellipsoidea"
"ESV4879","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Kotlabaea",NA
"ESV4880","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Bolbitiaceae","g__Conocybe","s__apala"
"ESV4882","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV4883","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Schizoporaceae","g__Hyphodontia",NA
"ESV4884","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV4885","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV4889","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Bolbitiaceae","g__Conocybe","s__apala"
"ESV4890","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Entolomataceae","g__Entoloma",NA
"ESV4891","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV4892","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Dermateaceae","g__Parafabraea","s__caliginosa"
"ESV4895","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Sordariales_fam_Incertae_sedis","g__Staphylotrichum",NA
"ESV4899","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae","g__Amaurodon","s__mustialaensis"
"ESV4901","k__Fungi","p__Rozellomycota",NA,NA,NA,NA,NA
"ESV4903","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Coprinopsis",NA
"ESV4904","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ESV4906","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliaceae","g__Arthrobotrys","s__conoides"
"ESV4909","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Bolbitiaceae","g__Pholiotina",NA
"ESV4910","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Leptospora",NA
"ESV4911","k__Fungi","p__Kickxellomycota","c__Kickxellomycetes","o__Kickxellales","f__Kickxellaceae","g__Ramicandelaber",NA
"ESV4912","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV4914","k__Fungi","p__Glomeromycota","c__Paraglomeromycetes","o__Paraglomerales","f__Paraglomeraceae","g__Paraglomus","s__brasilianum"
"ESV4915","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Dermateaceae","g__Parafabraea","s__caliginosa"
"ESV4918","k__Fungi","p__Zoopagomycota","c__Zoopagomycetes","o__Zoopagales","f__Piptocephalidaceae","g__Syncephalis",NA
"ESV4921","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Phaeomoniellales","f__Phaeomoniellaceae","g__Pseudophaeomoniella","s__oleae"
"ESV4927","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV4928","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Candida",NA
"ESV4929","k__Fungi","p__Zoopagomycota","c__Zoopagomycetes","o__Zoopagales","f__Piptocephalidaceae","g__Syncephalis",NA
"ESV4940","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Dermateaceae",NA,NA
"ESV4946","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae","g__Tomentella",NA
"ESV4947","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ESV4948","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV4950","k__Fungi","p__Kickxellomycota","c__Kickxellomycetes","o__Kickxellales","f__Kickxellaceae","g__Spiromyces","s__aspiralis"
"ESV4953","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA
"ESV4954","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV4955","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV4957","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV4958","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Diaporthaceae","g__Diaporthe","s__longicolla"
"ESV4959","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Schizoporaceae","g__Hyphodontia","s__arguta"
"ESV4960","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Bolbitiaceae","g__Conocybe","s__moseri"
"ESV4966","k__Fungi","p__Mucoromycota",NA,NA,NA,NA,NA
"ESV4967","k__Fungi","p__Chytridiomycota","c__Lobulomycetes","o__Lobulomycetales",NA,NA,NA
"ESV4969","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Teratosphaeriaceae","g__Devriesia","s__americana"
"ESV4972","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ESV4973","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV4974","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Rhynchogastremataceae","g__Papiliotrema","s__laurentii"
"ESV4975","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Erythrobasidiales","f__Erythrobasidiaceae","g__Bannoa","s__ogasawarensis"
"ESV4980","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Erythrobasidiales","f__Erythrobasidiaceae","g__Bannoa","s__ogasawarensis"
"ESV4983","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Boletales","f__Boletaceae","g__Xanthoconium","s__stramineum"
"ESV4984","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Dermateaceae","g__Parafabraea","s__caliginosa"
"ESV4992","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV4996","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Crocicreas","s__epicalamia"
"ESV4997","k__Fungi","p__Chytridiomycota","c__Rhizophydiomycetes","o__Rhizophydiales",NA,NA,NA
"ESV5001","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Dermateaceae",NA,NA
"ESV5003","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Bolbitiaceae","g__Conocybe","s__apala"
"ESV5004","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Coniochaetales","f__Coniochaetaceae","g__Coniochaeta","s__verticillata"
"ESV5009","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Entolomataceae","g__Entoloma","s__cremeoalbum"
"ESV5010","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Penicillium",NA
"ESV5012","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Trichomeriaceae","g__Arthrocladium","s__tardum"
"ESV5016","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ESV5019","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Hannaella","s__zeae"
"ESV5025","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","g__Paraphaeosphaeria",NA
"ESV5026","k__Fungi","p__Glomeromycota","c__Paraglomeromycetes","o__Paraglomerales","f__Paraglomeraceae","g__Paraglomus","s__brasilianum"
"ESV5027","k__Fungi","p__Mucoromycota","c__Mucoromycetes","o__Mucorales","f__Mucoraceae","g__Mucor","s__nidicola"
"ESV5028","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales",NA,NA,NA
"ESV5029","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreaceae","g__Trichoderma",NA
"ESV5030","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Naganishia","s__albida"
"ESV5031","k__Fungi","p__Kickxellomycota","c__Kickxellomycetes","o__Kickxellales","f__Kickxellaceae","g__Spiromyces","s__aspiralis"
"ESV5032","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV5033","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Cyphellophoraceae","g__Cyphellophora","s__vermispora"
"ESV5035","k__Fungi","p__Chytridiomycota","c__Rhizophydiomycetes","o__Rhizophydiales",NA,NA,NA
"ESV5036","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Geastrales","f__Geastraceae","g__Geastrum","s__morganii"
"ESV5039","k__Fungi","p__Basidiomycota","c__Agaricostilbomycetes","o__Agaricostilbales",NA,NA,NA
"ESV5044","k__Fungi","p__Kickxellomycota","c__GS19",NA,NA,NA,NA
"ESV5046","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV5052","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Strophariaceae","g__Deconica",NA
"ESV5053","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Dermateaceae",NA,NA
"ESV5058","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV5060","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Savoryellales","f__Savoryellaceae","g__Savoryella","s__paucispora"
"ESV5069","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Torulaceae","g__Torula",NA
"ESV5071","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV5072","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Geastrales","f__Sphaerobolaceae","g__Sphaerobolus","s__ingoldii"
"ESV5073","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Dictyosporiaceae","g__Pseudocoleophoma",NA
"ESV5076","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Dermateaceae","g__Parafabraea","s__caliginosa"
"ESV5079","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Erythrobasidiales","f__Erythrobasidiaceae","g__Bannoa","s__ogasawarensis"
"ESV5081","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Geastrales","f__Geastraceae","g__Geastrum","s__pectinatum"
"ESV5083","k__Fungi","p__Mucoromycota","c__Mucoromycetes","o__Mucorales","f__Cunninghamellaceae","g__Absidia","s__repens"
"ESV5084","k__Fungi","p__Kickxellomycota","c__Kickxellomycetes","o__Kickxellales","f__Kickxellaceae","g__Coemansia",NA
"ESV5087","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ESV5088","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Dermateaceae",NA,NA
"ESV5089","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ESV5090","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Onygenales","f__Onygenaceae","g__Arachnotheca","s__glomerata"
"ESV5093","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV5094","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae","g__Lachnellula","s__fuscosanguinea"
"ESV5095","k__Fungi","p__Ascomycota","c__Laboulbeniomycetes",NA,NA,NA,NA
"ESV5098","k__Fungi","p__Kickxellomycota","c__Kickxellomycetes","o__Kickxellales","f__Kickxellaceae","g__Spiromyces","s__aspiralis"
"ESV5107","k__Fungi","p__Glomeromycota","c__Paraglomeromycetes","o__Paraglomerales","f__Paraglomeraceae","g__Paraglomus",NA
"ESV5108","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"ESV5109","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"ESV5110","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Ascobolaceae","g__Ascobolus","s__furfuraceus"
"ESV5114","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Ascobolaceae","g__Ascobolus","s__foliicola"
"ESV5116","k__Fungi","p__Kickxellomycota","c__Kickxellomycetes","o__Kickxellales","f__Kickxellaceae","g__Spiromyces","s__aspiralis"
"ESV5118","k__Fungi","p__Kickxellomycota","c__Kickxellomycetes","o__Kickxellales","f__Kickxellaceae","g__Spiromyces","s__aspiralis"
"ESV5121","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Ganodermataceae","g__Ganoderma","s__lobatum"
